Data,Variable,type,high_util
condition_occurrence,condition_concept_id,cat,yes
condition_occurrence,condition_concept_name,skip,
condition_occurrence,condition_end_date,skip,
condition_occurrence,condition_end_date_day,cont,
condition_occurrence,condition_end_date_month,cont,yes
condition_occurrence,condition_end_date_since2000,cont,
condition_occurrence,condition_end_date_year,cont,yes
condition_occurrence,condition_end_datetime,skip,
condition_occurrence,condition_occurrence_id,skip,
condition_occurrence,condition_source_concept_id,skip,
condition_occurrence,condition_source_concept_name,skip,
condition_occurrence,condition_source_value,skip,
condition_occurrence,condition_start_date,skip,
condition_occurrence,condition_start_date_day,cont,
condition_occurrence,condition_start_date_month,cont,yes
condition_occurrence,condition_start_date_since2000,cont,
condition_occurrence,condition_start_date_year,cont,yes
condition_occurrence,condition_start_datetime,skip,
condition_occurrence,condition_start_end_diff,cont,
condition_occurrence,condition_status_concept_id,cat,yes
condition_occurrence,condition_status_concept_name,skip,
condition_occurrence,condition_status_source_value,skip,
condition_occurrence,condition_type_concept_id,cat,yes
condition_occurrence,condition_type_concept_name,skip,
condition_occurrence,data_partner_id,skip,
condition_occurrence,person_id,skip,
condition_occurrence,provider_id,skip,
condition_occurrence,stop_reason,cat,yes
condition_occurrence,visit_detail_id,skip,
condition_occurrence,visit_occurrence_id,skip,
death,cause_concept_id,cat,
death,cause_concept_name,skip,yes
death,cause_source_concept_id,skip,
death,cause_source_concept_name,skip,
death,cause_source_value,skip,
death,data_partner_id,skip,
death,death_date,skip,
death,death_date_day,cont,
death,death_date_month,cont,yes
death,death_date_since2000,cont,
death,death_date_year,cont,yes
death,death_datetime,skip,
death,death_id,skip,
death,death_type_concept_id,cat,
death,death_type_concept_name,skip,yes
death,person_id,skip,
drug_exposure,data_partner_id,skip,
drug_exposure,days_supply,cont,yes
drug_exposure,dose_unit_source_value,skip,
drug_exposure,drug_concept_id,cat,yes
drug_exposure,drug_concept_name,skip,
drug_exposure,drug_exposure_end_date,skip,
drug_exposure,drug_exposure_end_date_day,cont,
drug_exposure,drug_exposure_end_date_month,cont,yes
drug_exposure,drug_exposure_end_date_since2000,cont,
drug_exposure,drug_exposure_end_date_year,cont,yes
drug_exposure,drug_exposure_end_datetime,skip,
drug_exposure,drug_exposure_id,skip,
drug_exposure,drug_exposure_start_date,skip,
drug_exposure,drug_exposure_start_date_day,cont,
drug_exposure,drug_exposure_start_date_month,cont,yes
drug_exposure,drug_exposure_start_date_since2000,cont,
drug_exposure,drug_exposure_start_date_year,cont,yes
drug_exposure,drug_exposure_start_datetime,skip,
drug_exposure,drug_exposure_start_end_diff,cont,
drug_exposure,drug_source_concept_id,skip,
drug_exposure,drug_source_concept_name,skip,
drug_exposure,drug_source_value,skip,
drug_exposure,drug_type_concept_id,cat,yes
drug_exposure,drug_type_concept_name,skip,
drug_exposure,lot_number,skip,
drug_exposure,person_id,skip,
drug_exposure,provider_id,skip,
drug_exposure,quantity,cont,yes
drug_exposure,refills,cont,yes
drug_exposure,route_concept_id,cat,yes
drug_exposure,route_concept_name,skip,
drug_exposure,route_source_value,skip,
drug_exposure,sig,cat,
drug_exposure,stop_reason,cat,yes
drug_exposure,verbatim_end_date,skip,
drug_exposure,verbatim_end_date_day,cont,
drug_exposure,verbatim_end_date_month,cont,
drug_exposure,verbatim_end_date_since2000,cont,
drug_exposure,verbatim_end_date_year,cont,
drug_exposure,visit_detail_id,skip,
drug_exposure,visit_occurrence_id,skip,
person,birth_datetime,skip,
person,birth_since2000,cont,
person,care_site_id,skip,
person,data_partner_id,skip,
person,day_of_birth,cont,
person,ethnicity_concept_id,cat,yes
person,ethnicity_concept_name,skip,
person,ethnicity_source_concept_id,skip,
person,ethnicity_source_concept_name,skip,
person,ethnicity_source_value,skip,
person,gender_concept_id,cat,yes
person,gender_concept_name,skip,
person,gender_source_concept_id,skip,
person,gender_source_concept_name,skip,
person,gender_source_value,skip,
person,global_person_id,skip,
person,location_id,skip,
person,month_of_birth,cont,
person,person_id,skip,
person,person_source_value,skip,
person,provider_id,skip,
person,race_concept_id,cat,yes
person,race_concept_name,skip,
person,race_source_concept_id,skip,
person,race_source_concept_name,skip,
person,race_source_value,skip,
person,year_of_birth,cont,yes
procedure_occurrence,data_partner_id,skip,
procedure_occurrence,modifier_concept_id,cat,
procedure_occurrence,modifier_concept_name,skip,
procedure_occurrence,modifier_source_value,skip,
procedure_occurrence,person_id,skip,
procedure_occurrence,procedure_concept_id,cat,yes
procedure_occurrence,procedure_concept_name,skip,
procedure_occurrence,procedure_date,skip,
procedure_occurrence,procedure_date_day,cont,
procedure_occurrence,procedure_date_month,cont,yes
procedure_occurrence,procedure_date_since2000,cont,
procedure_occurrence,procedure_date_year,cont,yes
procedure_occurrence,procedure_datetime,skip,
procedure_occurrence,procedure_occurrence_id,skip,
procedure_occurrence,procedure_source_concept_id,skip,
procedure_occurrence,procedure_source_concept_name,skip,
procedure_occurrence,procedure_source_value,skip,
procedure_occurrence,procedure_type_concept_id,cat,yes
procedure_occurrence,procedure_type_concept_name,skip,
procedure_occurrence,provider_id,skip,
procedure_occurrence,qualifier_source_value,skip,
procedure_occurrence,quantity,cont,yes
procedure_occurrence,visit_detail_id,skip,
procedure_occurrence,visit_occurrence_id,skip,
visit_occurrence,admitted_from_concept_id,skip,
visit_occurrence,admitted_from_source_value,skip,
visit_occurrence,admitting_source_concept_id,skip,
visit_occurrence,admitting_source_concept_name,skip,
visit_occurrence,admitting_source_value,skip,
visit_occurrence,care_site_id,skip,
visit_occurrence,data_partner_id,skip,
visit_occurrence,discharge_to_concept_id,skip,
visit_occurrence,discharge_to_concept_name,skip,
visit_occurrence,discharge_to_source_value,skip,
visit_occurrence,discharged_to_concept_id,skip,
visit_occurrence,discharged_to_source_value,skip,
visit_occurrence,person_id,skip,
visit_occurrence,preceding_visit_occurrence_id,skip,
visit_occurrence,provider_id,skip,
visit_occurrence,visit_concept_id,cat,yes
visit_occurrence,visit_concept_name,skip,
visit_occurrence,visit_end_date,skip,
visit_occurrence,visit_end_date_day,cont,
visit_occurrence,visit_end_date_month,cont,yes
visit_occurrence,visit_end_date_since2000,cont,
visit_occurrence,visit_end_date_year,cont,yes
visit_occurrence,visit_end_datetime,skip,
visit_occurrence,visit_occurrence_id,skip,
visit_occurrence,visit_source_concept_id,skip,
visit_occurrence,visit_source_concept_name,skip,
visit_occurrence,visit_source_value,skip,
visit_occurrence,visit_start_date,skip,
visit_occurrence,visit_start_date_day,cont,
visit_occurrence,visit_start_date_month,cont,yes
visit_occurrence,visit_start_date_since2000,cont,
visit_occurrence,visit_start_date_year,cont,yes
visit_occurrence,visit_start_datetime,skip,
visit_occurrence,visit_start_end_diff,cont,
visit_occurrence,visit_type_concept_id,cat,yes
visit_occurrence,visit_type_concept_name,skip,
measurement,measurement_id,skip,
measurement,person_id,skip,
measurement,measurement_concept_id,cat,
measurement,measurement_date,skip,
measurement,measurement_date_year,cont,yes
measurement,measurement_date_month,cont,yes
measurement,measurement_date_day,cont,
measurement,measurement_date_since2000,cont,
measurement,measurement_datetime,skip,
measurement,measurement_time,cont,
measurement,measurement_type_concept_id,cat,
measurement,operator_concept_id,cat,
measurement,value_as_number,cont,
measurement,value_as_concept_id,cat,
measurement,unit_concept_id,cat,
measurement,range_low,cont,
measurement,range_high,cont,
measurement,provider_id,skip,
measurement,visit_occurrence_id,skip,
measurement,visit_detail_id,skip,
measurement,measurement_source_concept_id,skip,
measurement,unit_source_value,skip,
measurement,data_partner_id,skip,
measurement,measurement_concept_name,cat,yes
measurement,measurement_type_concept_name,cat,yes
measurement,operator_concept_name,cat,yes
measurement,value_as_concept_name,cat,yes
measurement,unit_concept_name,cat,yes
measurement,measurement_source_concept_name,skip,
measurement,value_source_value,skip,
measurement,measurement_source_value,skip,
measurement,unit_concept_id_or_inferred_unit_concept_id,skip,
measurement,harmonized_unit_concept_id,skip,
measurement,harmonized_value_as_number,skip,
