folder	col_name	type	high_util
condition_occurrence	condition_occurrence_id	skip	
condition_occurrence	person_id	skip	
condition_occurrence	condition_concept_id	cat	yes
condition_occurrence	condition_start_date	skip	
condition_occurrence	condition_start_date_year	cont	yes
condition_occurrence	condition_start_date_month	cont	yes
condition_occurrence	condition_start_date_day	cont	
condition_occurrence	condition_start_date_since2000	cont	
condition_occurrence	condition_start_datetime	skip	
condition_occurrence	condition_end_date	skip	
condition_occurrence	condition_end_date_year	cont	yes
condition_occurrence	condition_end_date_month	cont	yes
condition_occurrence	condition_end_date_day	cont	
condition_occurrence	condition_end_date_since2000	cont	
condition_occurrence	condition_start_end_diff	cont	
condition_occurrence	condition_end_datetime	skip	
condition_occurrence	condition_type_concept_id	cat	yes
condition_occurrence	stop_reason	cat	yes
condition_occurrence	provider_id	skip	
condition_occurrence	visit_occurrence_id	skip	
condition_occurrence	visit_detail_id	skip	
condition_occurrence	condition_source_value	cat	
condition_occurrence	condition_source_concept_id	cat	
condition_occurrence	condition_status_source_value	cat	
condition_occurrence	condition_status_concept_id	cat	yes
drug_exposure	drug_exposure_id	skip	
drug_exposure	person_id	skip	
drug_exposure	drug_concept_id	cat	yes
drug_exposure	drug_exposure_start_date	skip	
drug_exposure	drug_exposure_start_date_year	cont	yes
drug_exposure	drug_exposure_start_date_month	cont	yes
drug_exposure	drug_exposure_start_date_day	cont	
drug_exposure	drug_exposure_start_date_since2000	cont	
drug_exposure	drug_exposure_start_datetime	skip	
drug_exposure	drug_exposure_end_date	skip	
drug_exposure	drug_exposure_end_date_year	cont	yes
drug_exposure	drug_exposure_end_date_month	cont	yes
drug_exposure	drug_exposure_end_date_day	cont	
drug_exposure	drug_exposure_end_date_since2000	cont	
drug_exposure	drug_exposure_start_end_diff	cont	
drug_exposure	drug_exposure_end_datetime	skip	
drug_exposure	verbatim_end_date	skip	
drug_exposure	verbatim_end_date_year	cont	
drug_exposure	verbatim_end_date_month	cont	
drug_exposure	verbatim_end_date_day	cont	
drug_exposure	verbatim_end_date_since2000	cont	
drug_exposure	drug_type_concept_id	cat	yes
drug_exposure	stop_reason	cat	yes
drug_exposure	refills	cont	yes
drug_exposure	quantity	cont	yes
drug_exposure	days_supply	cont	yes
drug_exposure	sig	cat	
drug_exposure	route_concept_id	cat	yes
drug_exposure	lot_number	cat	
drug_exposure	provider_id	skip	
drug_exposure	visit_occurrence_id	skip	
drug_exposure	visit_detail_id	skip	
drug_exposure	drug_source_value	cat	
drug_exposure	drug_source_concept_id	cat	
drug_exposure	route_source_value	cat	
drug_exposure	dose_unit_source_value	cat	
person	person_id	skip	
person	gender_concept_id	cat	yes
person	year_of_birth	cont	yes
person	month_of_birth	cont	
person	day_of_birth	cont	
person	birth_datetime	skip	
person	birth_since2000	cont	
person	race_concept_id	cat	yes
person	ethnicity_concept_id	cat	yes
person	location_id	skip	
person	provider_id	skip	
person	care_site_id	skip	
person	person_source_value	skip	
person	gender_source_value	cat	
person	gender_source_concept_id	cat	
person	race_source_value	cat	
person	race_source_concept_id	cat	
person	ethnicity_source_value	cat	
person	ethnicity_source_concept_id	cat	
procedure_occurrence	procedure_occurrence_id	skip	
procedure_occurrence	person_id	skip	
procedure_occurrence	procedure_concept_id	cat	yes
procedure_occurrence	procedure_date_year	cont	yes
procedure_occurrence	procedure_date_month	cont	yes
procedure_occurrence	procedure_date_day	cont	
procedure_occurrence	procedure_date_since2000	cont	
procedure_occurrence	procedure_date	skip	
procedure_occurrence	procedure_datetime	skip	
procedure_occurrence	procedure_type_concept_id	cat	yes
procedure_occurrence	modifier_concept_id	cat	
procedure_occurrence	quantity	cont	yes
procedure_occurrence	provider_id	skip	
procedure_occurrence	visit_occurrence_id	skip	
procedure_occurrence	visit_detail_id	skip	
procedure_occurrence	procedure_source_value	cat	
procedure_occurrence	procedure_source_concept_id	cat	
procedure_occurrence	qualifier_source_value	cat	
visit_occurrence	visit_occurrence_id	skip	
visit_occurrence	visit_concept_id	cat	yes
visit_occurrence	person_id	skip	
visit_occurrence	visit_start_date	skip	
visit_occurrence	visit_start_date_year	cont	yes
visit_occurrence	visit_start_date_month	cont	yes
visit_occurrence	visit_start_date_day	cont	
visit_occurrence	visit_start_date_since2000	cont	
visit_occurrence	visit_start_datetime	skip	
visit_occurrence	visit_end_date	skip	
visit_occurrence	visit_end_date_year	cont	yes
visit_occurrence	visit_end_date_month	cont	yes
visit_occurrence	visit_end_date_day	cont	
visit_occurrence	visit_end_date_since2000	cont	
visit_occurrence	visit_start_end_diff	cont	
visit_occurrence	visit_end_datetime	skip	
visit_occurrence	visit_type_concept_id	cat	yes
visit_occurrence	provider_id	skip	
visit_occurrence	care_site_id	skip	
visit_occurrence	visit_source_value	skip	
visit_occurrence	visit_source_concept_id	cat	
visit_occurrence	admitted_from_concept_id	cat	yes
visit_occurrence	admitted_from_source_value	cat	
visit_occurrence	discharged_to_concept_id	cat	yes
visit_occurrence	discharged_to_source_value	cat	
visit_occurrence	preceding_visit_occurrence_id	skip	
